sep=,,
estados,RO,Rondônia/RO/
estados,AC,Acre/AC/
estados,AM,Amazonas/AM/
estados,RR,Roraima/RR/
estados,PA,Pará/PA/
estados,AP,Amapá/AP/
estados,TO,Tocantins/TO/
estados,MA,Maranhão/MA/
estados,PI,Piauí/PI/
estados,CE,Ceará/CE/
estados,RN,Rio Grande do Norte/RN/
estados,PB,Paraíba/PB/
estados,PE,Pernambuco/PE/
estados,AL,Alagoas/AL/
estados,SE,Sergipe/SE/
estados,BA,Bahia/BA/
estados,MG,Minas Gerais/MG/
estados,ES,Espírito Santo/ES/
estados,RJ,Rio de Janeiro/RJ/
estados,SP,São Paulo/SP/
estados,PR,Paraná/PR/
estados,SC,Santa Catarina/SC/
estados,RS,Rio Grande do Sul/RS/
estados,MS,Mato Grosso do Sul/MS/
estados,MT,Mato Grosso/MT/
estados,GO,Goiás/GO/
estados,DF,Distrito Federal/DF/
